index,cid,image,url,name,author,skills,stars
0,1,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b0/ca7b7874b64bce8ff67a727e8f7cc4/GenAI_Logo-Image-2_1200x1200pxl-copy.jpg?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=265&amp;h=216&amp;fit=crop&amp;q=50""",https://www.coursera.org/learn/generative-ai-introduction-and-applications,Generative AI: Introduction and Applications Course,IBM,"Generative AI, ChatGPT, OpenAI, Artificial Intelligence, IBM Cloud, Artificial Intelligence and Machine Learning (AI/ML), Augmented and Virtual Reality (AR/VR), Deep Learning",4.7
1,2,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/190f880708458082df6d47e4e904a7/Chat-AI_Logo-Image_1200X1200px.png?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=265&amp;h=216&amp;fit=crop&amp;q=50""",https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,Generative AI: Prompt Engineering Basics Course,IBM,"ChatGPT, Generative AI, IBM Cloud, Software Development Tools, Image Analysis, Technical Communication, Natural Language Processing",4.8
2,3,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/da/170cbdbaf6417ab3e6c6800890ce3a/Square-GenAI.jpg?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=265&amp;h=216&amp;fit=crop&amp;q=50""",https://www.coursera.org/learn/generative-ai-content-creation, Generative AI Content Creation new Course,Adobe,"Generative AI, Adobe Creative Cloud, Data Integrity, Creativity, Content Creation, Creative Design, Data Security, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing",4.6
3,4,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5e/c98bef7de04a8e971534c82c32ebd3/DeepLearning_Generative_AI_for_Software_Banner_1000x1000.png?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=265&amp;h=216&amp;fit=crop&amp;q=50""",https://www.coursera.org/professional-certificates/generative-ai-for-software-development,Generative AI for Software Development new Professional Certificate,DeepLearning.AI,"Database Design, Software Documentation, Software Design Patterns, Database Systems, Software Testing, ChatGPT, Technical Documentation, Generative AI, Software Design, Code Review, Software Architecture, Software Systems, System Design and Implementation, Dependency Analysis, Artificial Intelligence, Software Development Tools, OpenAI, Software Development, Natural Language Processing, Debugging",4.6
4,5,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/31/1ce8cdc4d2479ab810e34fd311247b/juleswhite_3d_colorful_volumeric_organic_rounded_vibrant_highly_af4ef28f-938c-4a47-b26d-610a4e0159c3.png?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=265&amp;h=216&amp;fit=crop&amp;q=50""",https://www.coursera.org/specializations/ai-agents-python,AI Agents and Agentic AI in Python: Powered by Generative AI new Specialization,Generative AI new Specialization by Vanderbilt University,"ChatGPT, Generative AI, Artificial Intelligence and Machine Learning (AI/ML), OpenAI, Artificial Intelligence, Business Process Automation, Automation, Strategic Thinking, Python Programming, Creative Thinking, Creativity, Business Intelligence, Value Propositions, Workflow Management, Software Design, Emerging Technologies, Innovation, Business Strategy, Natural Language Processing, Action Oriented",4.8
5,6,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3c/fc877b66e24a9785daec760d848b5b/Google_Caroline_149.jpg?auto=format%2Ccompress%2C%20enhance&amp;dpr=1&amp;w=320&amp;h=180&amp;fit=crop&amp;q=50&amp;crop=faces""",https://www.coursera.org/learn/google-ai-essentials,Google AI Essentials Course,Google,"Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software, Artificial Intelligence, Data Ethics, Security Awareness, Business Workflow Analysis, Innovation, Automation, Workflow Management, Information Privacy, Human Computer Interaction, Content Creation, Natural Language Processing, Complex Problem Solving",4.7
6,7,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/62/0fe9829c644251b979168a41b630f6/Professional_Certificate_image_square.jpg?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/microsoft-copilot-for-data-science,Microsoft Copilot for Data Science Specialization,Microsoft,"Generative AI, Technical Communication, Anomaly Detection, Natural Language Processing, Data Ethics, Data Storytelling, Data Quality, Data-Driven Decision-Making, Data Pipelines, Data Cleansing, Data Synthesis, Data Analysis, Data Visualization Software, Big Data, Data Validation, Strategic Communication, Information Privacy, Artificial Intelligence, Artificial Neural Networks, Data Science",4.5
7,8,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/87/bdda71b0be4f9f99422776991f04d0/assistants.png?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/generative-ai-assistants,Generative AI Assistants Specialization,Vanderbilt University,"ChatGPT, Generative AI, Ideation, Verification And Validation, OpenAI, Creative Thinking, Creativity, Artificial Intelligence, Personalized Service, Risk Management Framework, Expense Management, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software, Digital Transformation, Data Ethics, Business Process Automation, Expense Reports, Innovation, Natural Language Processing, Test Case",4.8
8,9,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/84/4f34d5cfe44ae1830dc548fdf39084/automation2.png?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/generative-ai-automation,Generative AI Automation Specialization,Vanderbilt University,"ChatGPT, Ideation, Verification And Validation, Data Presentation, Generative AI, Document Management, Creative Thinking, Image Analysis, Data Capture, Artificial Intelligence, OpenAI, Data Analysis, Organizational Skills, Risk Management Framework, Computer Vision, Productivity Software, Microsoft Excel, Data Storytelling, Creativity, Data Ethics",4.8
9,10,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ff/10f167519240ef9dd01ea4e004d8de/Marketing-S12n-Image.jpeg?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/microsoft-copilotformarketing,Microsoft Copilot for Marketing new Specialization,Microsoft,"Customer Insights, Customer Analysis, Persona Development, Report Writing, Competitive Analysis, Customer Data Management, Content Creation, Target Audience, Search Engine Marketing, Marketing Analytics, Marketing Strategies, Marketing Planning, Marketing, Performance Analysis, Marketing Design, Search Engine Optimization, MarTech, Social Media Content, Ideation, Content Strategy",4.7
10,11,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b0/6580869c6e4f4485849d32725077ef/gen_ai_leaders.png?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/generative-ai-leadership-strategy,Generative AI Leadership & Strategy Specialization,Vanderbilt University,"ChatGPT, Ideation, Verification And Validation, Succession Planning, Business Writing, Generative AI, Leadership, Meeting Facilitation, Organizational Leadership, Creative Thinking, Creativity, Strategic Leadership, Artificial Intelligence, Business Leadership, Proposal Writing, Thought Leadership, Communication, Risk Management Framework, OpenAI, Natural Language Processing",4.8
11,12,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/28/fa4d0c3629459d858faaa8989afada/Professional_Certificate_image_square.jpg?auto=format%2Ccompress&amp;dpr=2&amp;blur=200&amp;px=8&amp;max-w=265""",https://www.coursera.org/specializations/microsoft-copilot-your-everyday-ai-companion,Microsoft Copilot: Your Everyday AI Companion Specialization,Microsoft,"Customer Engagement, Data Ethics, Generative AI, Data Governance, Customer Support, Regulation and Legal Compliance, Client Support, Customer Service, Customer Relationship Management (CRM) Software, Workflow Management, Microsoft 365, Customer Success Management, Compliance Management, Sales Enablement, Marketing Automation, Ethical Standards And Conduct, ChatGPT, Artificial Intelligence, Productivity Software, Business Process Automation",4.4
