index,fid,url,image,title,author,summary
0,1,fast.ai/posts/2025-02-03-cpath-foundation/index.html,fast.ai/posts/2025-02-03-cpath-foundation/gleason.jpg,What AI can tell us about microscope slides,Rachel Thomas,A friendly introduction to Foundation Models for Computational Pathology
1,2,fast.ai/posts/2024-11-07-solveit.html,fast.ai/posts/flying-thumbnail.png,A New Chapter for fast.ai: How To Solve It With Code,Jeremy Howard,"fast.ai is joining Answer.AI, and we’re announcing a new kind of educational experience, ‘How To Solve It With Code’"
2,3,fast.ai/posts/2024-10-29-screen-time/index.html,fast.ai/posts/2024-10-29-screen-time/music-lab.jpg,In defense of screen time,Rachel Thomas,Pundits say my husband and I are parenting wrong.
3,4,fast.ai/posts/2023-12-12-launch.html,fast.ai/posts/faraday.png,A new old kind of R&D lab,Jeremy Howard,Answer.AI is a new kind of AI R&amp;D lab which creates practical end-user products based on foundational research breakthroughs.
4,5,fast.ai/posts/2023-09-04-learning-jumps/index.html,fast.ai/posts/2023-09-04-learning-jumps/2023-09-04-10-09-29.png,Can LLMs learn from a single example?,Jeremy Howard and Jonathan Whitaker,"We’ve noticed an unusual training pattern in fine-tuning LLMs. At first we thought it’s a bug, but now we think it shows LLMs can learn effectively from a single example."
5,6,fast.ai/posts/2023-07-29-ai-centralizes-power/index.html,fast.ai/posts/2023-07-29-ai-centralizes-power/cuts-healthcare.jpg,"AI and Power: The Ethical Challenges of Automation, Centralization, and Scale",Rachel Thomas,Moving AI ethics beyond explainability and fairness to empowerment and justice
6,7,fast.ai/posts/2023-11-07-dislightenment.html,fast.ai/images/enlightenment.jpeg,AI Safety and the Age of Dislightenment,Jeremy Howard,Model licensing &amp; surveillance will likely be counterproductive by concentrating power in unsustainable ways
7,8,fast.ai/posts/2023-05-31-extinction.html,fast.ai/images/ai-hand.jpeg,Is Avoiding Extinction from AI Really an Urgent Priority?,"Seth Lazar, Jeremy Howard, &amp; Arvind Narayanan","The history of technology suggests that the greatest risks come not from the tech, but from the people who control it"
8,9,fast.ai/posts/2023-05-03-mojo-launch.html,fast.ai/images/mojo.png,Mojo may be the biggest programming language advance in decades,Jeremy Howard,"Mojo is a new programming language, based on Python, which fixes Python’s performance and deployment problems."
9,10,fast.ai/posts/2023-04-04-part2-2023.html,fast.ai/images/course2022p2l1.jpg,From Deep Learning Foundations to Stable Diffusion,Jeremy Howard,We’ve released our new course with over 30 hours of video content.
10,11,fast.ai/posts/2023-03-20-wittgenstein.html,fast.ai/images/wittgenstein.png,GPT 4 and the Uncharted Territories of Language,Jeremy Howard,Language is a source of limitation and liberation. GPT 4 pushes this idea to the extreme by giving us access to unlimited language.
11,12,fast.ai/posts/2023-02-07-school-immunology/index.html,fast.ai/posts/2023-02-07-school-immunology/textbooks.jpg,"I was an AI researcher. Now, I am an immunology student.",Rachel Thomas,"Last year, I became captivated by a new topic in a way that I hadn’t felt since I first discovered machine learning"
12,13,fast.ai/posts/2022-10-19-part2-2022-preview.html,fast.ai/images/course2022p2l1.jpg,1st Two Lessons of From Deep Learning Foundations to Stable Diffusion,Jeremy Howard,"4 videos from Practical Deep Learning for Coders Part 2, 2022 have been released as a special early preview of the new course."
13,14,fast.ai/posts/2022-09-23-part2-2022-signup.html,fast.ai/images/uq-part2.png,"Deep Learning Foundations Signup, Open Source Scholarships, & More",Jeremy Howard,"Signups are now open for Practical Deep Learning for Coders Part 2, 2022. Scholarships are available for fast.ai community contributors, open source developers, and diversity scholars."
14,15,fast.ai/posts/2022-09-16-part2-2022.html,fast.aimages/diffusion.png,From Deep Learning Foundations to Stable Diffusion,Jeremy Howard,"Practical Deep Learning for Coders part 2, 2022"
15,16,fast.ai/posts/2022-09-06-homeschooling.html,fast.ai/images/homeschool-headlines.jpg,My family’s unlikely homeschooling journey,Rachel Thomas,"Prior to 2020, we never expected to homeschool, and now we have committed to it long-term."
16,17,fast.ai/posts/2022-08-25-jupyter-git.html,fast.ai/images/unreadable-notebook.png,The Jupyter+git problem is now solved,Jeremy Howard,"Previously, using git with Jupyter could create conflicts and break notebooks. With nbdev2, the problem has been totally solved."
17,18,fast.ai/posts/2022-07-28-nbdev2.html,fast.ai/images/nbdev2/cover.png,nbdev+Quarto: A new secret weapon for productivity,Hamel Husain and Jeremy Howard,"Our favorite tool for software engineering productivity–nbdev, now re-written with Quarto"
18,19,fast.ai/posts/2022-07-21-dl-coders-22.html,fast.ai/images/dl22/lesson1.jpg,Practical Deep Learning for Coders 2022,Jeremy Howard,"A complete from-scratch rewrite of fast.ai’s most popular course, that’s been 2 years in the making."
19,20,fast.ai/posts/2022-07-04-updated-masks-evidence.html,fast.aittps://user-images.githubusercontent.com/346999/177243371-78115305-7b09-471f-904d-84d16dc1613a.png,Masks for COVID: Updating the evidence,Jeremy Howard,Notes taken whilst preparing a paper on mask efficacy from Nov to Jan 2022. My previous paper on this was written in April 2020 and published in the Proceedings of the National Academy of Science
20,21,fast.ai/posts/2022-06-01-qualitative.html,fast.ai/images/Abstract-art-britto-qb140.jpg,Qualitative humanities research is crucial to AI,Louisa Bartolo and Rachel Thomas,Following the thread of any seemingly quantitative issue in AI ethics (such as determining if software to rate loan applicants is racially biased or evaluating YouTube’s recommendation system) qui...
21,22,fast.ai/posts/2022-05-17-societal-harms.html,fast.ai/images/air-pollution.jpg,"AI Harms are Societal, Not Just Individual",Rachel Thomas and Louisa Bartolo,"In the west, our ideas of harm are largely anchored to an individual being harmed by a particular action at a discrete moment in time. Yet the harms caused by algorithmic systems are often collect..."
22,23,fast.ai/posts/2022-03-15-math-person.html,fast.ai/images/mathperson/teaching.jpg,There’s no such thing as not a math person,Rachel Thomas,"Many cultural factors, misconceptions, stereotypes, and obstacles turn people off to math."
23,24,fast.ai/posts/2022-03-14-ADSN-ethics.html,fast.aimages/ADSN-lightning/lauren0.jpg,7 Great Lightning Talks Related to Data Science Ethics,Rachel Thomas,"Lightning talks by Australian experts on a range of topics related to data science ethics, including machine learning in medicine, explainability, Indigenous-led AI, and the role of policy"
